Time,X,Y,Z
5720,9.24231,-7.53838,1.32386
5730,9.27112,-7.54864,1.03168
5740,9.29162,-7.55793,0.73723
5750,9.30364,-7.56619,0.441765
5760,9.30717,-7.57332,0.146566
5770,9.30231,-7.57927,-0.147092
5780,9.28933,-7.58396,-0.437948
5790,9.26859,-7.58735,-0.724754
5800,9.24059,-7.58939,-1.0063
5810,9.20594,-7.59004,-1.2814
5820,9.16537,-7.58926,-1.54893
5830,9.1197,-7.58702,-1.80779
5840,9.06986,-7.58332,-2.05695
5850,9.01683,-7.57811,-2.29543
5860,8.96169,-7.5714,-2.5223
5870,8.90556,-7.56317,-2.7367
5880,8.84961,-7.5534,-2.93779
5890,8.79504,-7.54207,-3.12482
5900,8.74306,-7.52917,-3.29705
5910,8.69488,-7.51468,-3.45378
5920,8.65172,-7.49857,-3.59433
5930,8.61473,-7.48081,-3.71805
5940,8.58506,-7.46134,-3.82427
5950,8.56378,-7.44013,-3.91232
5960,8.55186,-7.4171,-3.98149
5970,8.55023,-7.39218,-4.03103
5980,8.55966,-7.36528,-4.06015
5990,8.58081,-7.33631,-4.06796
6000,8.61417,-7.30514,-4.05352
6010,8.66135,-7.27021,-4.0156
6020,8.72298,-7.23011,-3.95414
6030,8.79787,-7.18487,-3.86977
6040,8.8847,-7.13453,-3.76306
6050,8.98201,-7.07911,-3.63451
6060,9.08824,-7.01864,-3.48463
6070,9.20175,-6.95312,-3.3139
6080,9.32084,-6.88259,-3.12282
6090,9.44374,-6.80709,-2.91194
6100,9.56867,-6.72668,-2.68183
6110,9.69384,-6.64147,-2.43315
6120,9.81746,-6.55158,-2.16664
6130,9.93776,-6.45716,-1.88312
6140,10.053,-6.35839,-1.58349
6150,10.1616,-6.25552,-1.26877
6160,10.262,-6.1488,-0.940093
6170,10.3527,-6.03855,-0.59866
6180,10.4323,-5.92509,-0.245793
6190,10.4997,-5.8088,0.117095
6200,10.5539,-5.69009,0.488514
6210,10.5939,-5.56939,0.866897
6220,10.6191,-5.44717,1.25062
6230,10.6289,-5.32388,1.638
6240,10.6231,-5.20004,2.02734
6250,10.6015,-5.07614,2.41693
6260,10.5642,-4.95268,2.80503
6270,10.5116,-4.83018,3.18997
6280,10.4441,-4.70912,3.57008
6290,10.3624,-4.59,3.94375
6300,10.2673,-4.47329,4.30945
6310,10.16,-4.35942,4.66572
6320,10.0417,-4.24882,5.01119
6330,9.91363,-4.14188,5.34461
6340,9.77736,-4.03895,5.66482
6350,9.63448,-3.94037,5.97079
6360,9.48669,-3.84642,6.2616
6370,9.33579,-3.75736,6.53645
6380,9.18362,-3.67339,6.79466
6390,9.03206,-3.5947,7.03563
6400,8.88302,-3.52144,7.25889
6410,8.73841,-3.45374,7.46403
6420,8.60016,-3.39169,7.65073
6430,8.47013,-3.33536,7.81872
6440,8.35015,-3.28482,7.96775
6450,8.242,-3.2401,8.0976
6460,8.14738,-3.20126,8.20805
6470,8.0679,-3.16835,8.29883
6480,8.00506,-3.14142,8.36962
6490,7.96023,-3.12055,8.42003
6500,7.93466,-3.10583,8.44956
6510,7.92838,-3.09693,8.45871
6520,7.94022,-3.09332,8.44892
6530,7.96939,-3.09481,8.42087
6540,8.01497,-3.10126,8.37511
6550,8.07594,-3.11254,8.31212
6560,8.15118,-3.12855,8.23228
6570,8.23948,-3.14919,8.13594
6580,8.33958,-3.17438,8.02339
6590,8.45013,-3.20402,7.89491
6600,8.56977,-3.23803,7.75076
6610,8.69706,-3.27634,7.59123
6620,8.83058,-3.31885,7.41661
6630,8.96887,-3.36546,7.22725
6640,9.11046,-3.41607,7.02353
6650,9.25392,-3.47055,6.8059
6660,9.39781,-3.52877,6.57487
6670,9.54076,-3.59057,6.33102
6680,9.68141,-3.65578,6.075
6690,9.81847,-3.72422,5.80756
6700,9.95075,-3.79568,5.52951
6710,10.0771,-3.86993,5.24176
6720,10.1964,-3.94674,4.94526
6730,10.3079,-4.02585,4.64109
6740,10.4106,-4.10699,4.33035
6750,10.5039,-4.18987,4.01422
6760,10.5871,-4.2742,3.69394
6770,10.6598,-4.35969,3.37077
6780,10.7217,-4.44601,3.04604
6790,10.7726,-4.53286,2.72109
6800,10.8125,-4.61993,2.39727
6810,10.8414,-4.70691,2.07593
6820,10.8596,-4.79348,1.75845
6830,10.8674,-4.87935,1.44615
6840,10.8654,-4.96422,1.14037
6850,10.854,-5.04782,0.842384
6860,10.8341,-5.12988,0.553456
6870,10.8064,-5.21013,0.274793
6880,10.7719,-5.28834,0.00756073
6890,10.7314,-5.36429,-0.247124
6900,10.6861,-5.43776,-0.488203
6910,10.637,-5.50856,-0.714655
6920,10.5852,-5.57651,-0.925518
6930,10.5319,-5.64145,-1.11987
6940,10.4781,-5.70323,-1.29684
6950,10.4252,-5.7617,-1.45556
6960,10.374,-5.81673,-1.59523
6970,10.3258,-5.86821,-1.71503
6980,10.2815,-5.91599,-1.81418
6990,10.2421,-5.95996,-1.89189
7000,10.2082,-6,-1.94732
7010,10.1794,-6.03752,-1.98176
7020,10.1546,-6.07408,-1.99757
7030,10.1336,-6.10972,-1.99557
7040,10.1162,-6.14452,-1.97656
7050,10.1023,-6.17852,-1.94131
