Time,Distance
9170,0.965194
9180,1.82715
9190,1.57343
9200,1.32062
9210,1.06959
9220,0.822215
9230,0.583414
9240,0.370473
9250,0.258449
9260,1.02293
9270,0.76734
9280,0.511631
9290,0.255838
9300,0
9310,0.104722
9320,1.32815
9330,1.35169
9340,2.35383
9350,2.44407
9360,2.53532
9370,1.51567
9380,1.57137
9390,1.63185
9400,1.69657
9410,1.76508
9420,1.83694
9430,0.209433
9440,0.104713
9450,0
9460,0.104726
9470,1.7786
9480,2.31987
9490,0.418854
9500,2.09173
9510,2.19603
9520,2.30031
9530,0.83758
9540,0.942243
9550,1.04687
9560,1.15148
9570,1.25606
9580,1.36063
9590,1.46516
9600,0
9610,0.349748
9620,0.699439
9630,1.04892
9640,1.39817
9650,11.7821
9660,11.4872
9670,11.1894
9680,10.3051
9690,10.0172
9700,9.72721
9710,9.43517
9720,8.6925
9730,8.37501
9740,8.05543
9750,7.73389
9760,7.41043
9770,7.08518
9780,6.75824
9790,6.42965
9800,6.09963
9810,5.76816
9820,5.43539
9830,5.10152
9840,3.84009
9850,4.43079
9860,1.39818
9870,1.04894
9880,0.699447
9890,0.349765
9900,0
9910,0.0797606
9920,0.15951
9930,0.239257
9940,9.42199
9950,9.34926
9960,1.64736
9970,1.67453
9980,1.70532
9990,1.73956
10000,1.77704
10010,1.60467
10020,2.1701
10030,2.11357
10040,2.05883
10050,2.00602
10060,1.95532
10070,9.9556
10080,9.88506
10090,9.81453
10100,9.74401
10110,8.85146
10120,0.558222
10130,0.55821
10140,0.478486
10150,0.398753
10160,0.319007
10170,0.239259
10180,1.03633
10190,0.0797555
10200,0
10210,0.202485
10220,0.404934
10230,0.607352
10240,0.80972
10250,1.01201
10260,1.21422
10270,1.41631
10280,3.72781
10290,3.54788
10300,3.36919
10310,3.19202
10320,3.0167
10330,2.84363
10340,2.67335
10350,2.50647
10360,2.34378
10370,2.18626
10380,2.03521
10390,1.89224
10400,1.75938
10410,1.63909
10420,1.53441
10430,1.44883
10440,1.38582
10450,1.34862
10460,1.3394
10470,1.35874
10480,0.404926
10490,0.202475
10500,0
10510,0.113328
10520,0.226646
10530,2.65237
10540,2.61882
10550,2.58994
10560,9.26808
10570,9.16851
10580,9.06888
10590,8.96921
10600,8.86955
10610,5.86837
10620,5.75852
10630,5.64856
10640,5.53849
10650,5.42831
10660,7.47061
10670,7.42297
10680,7.37621
10690,7.33038
10700,7.28548
10710,2.53531
10720,2.42642
10730,2.31778
10740,2.60186
10750,2.10143
10760,1.99385
10770,1.88677
10780,0.226654
10790,0.113328
10800,0
10810,0.215154
10820,0.430283
10830,0.645366
10840,0.860369
10850,3.76384
10860,3.57118
10870,3.37951
10880,3.18909
10890,3.00026
10900,2.81345
10910,2.62917
10920,2.44808
10930,3.44317
10940,3.26255
10950,3.08437
10960,2.9092
10970,2.7377
10980,2.57068
10990,2.40915
11000,2.2544
11010,2.10799
11020,1.97184
11030,1.84827
11040,1.79722
11050,1.33546
11060,2.16885
11070,1.55663
11080,0.430281
11090,1.84535
11100,0
11110,1.91504
11120,1.87746
11130,1.8965
11140,1.97056
11150,2.59091
11160,2.27779
11170,2.31091
11180,2.38792
11190,5.42136
11200,6.24534
11210,5.93722
11220,5.62886
11230,5.32062
11240,5.01275
11250,4.70572
11260,4.39996
11270,4.09606
11280,3.79483
11290,3.49726
11300,3.20471
11310,2.91892
11320,2.6425
11330,2.37893
11340,5.20519
11350,5.00163
11360,4.80833
11370,4.62676
11380,4.45856
11390,0.340319
11400,0
11410,0.480967
11420,0.96167
11430,1.44185
11440,1.92126
11450,2.39963
11460,1.96412
11470,1.99539
11480,2.12536
11490,2.33738
11500,2.61114
11510,2.92887
11520,3.27725
11530,3.64683
11540,7.18427
11550,6.74097
11560,5.27307
11570,4.80366
11580,4.33344
11590,3.86332
11600,3.39455
11610,2.92907
11620,2.46999
11630,2.02304
11640,1.59976
11650,1.22633
11660,0.963769
11670,0.914005
11680,0.480268
11690,0.480964
11700,0
11710,0.267975
11720,0.535888
11730,0.803668
11740,1.07127
11750,1.33862
11760,1.60566
11770,1.87233
11780,2.13855
11790,1.50413
11800,1.70468
11810,5.98423
11820,5.72455
11830,5.46447
11840,5.20419
11850,4.94391
11860,4.68393
11870,5.35649
11880,5.09495
11890,3.22364
11900,3.43899
11910,2.40429
11920,2.13856
11930,1.87233
11940,1.60567
11950,1.33862
11960,1.07128
11970,0.80367
11980,0.535884
11990,0.267972
12000,0
12010,8.17892
12020,5.17545
12030,5.16872
12040,2.41126
12050,2.42021
12060,2.43024
12070,2.44132
12080,5.14219
12090,5.13831
12100,2.48077
12110,2.49593
12120,2.51208
12130,2.52917
12140,2.54721
12150,2.56616
12160,5.12478
12170,6.10614
12180,6.35169
12190,6.35561
12200,5.12772
12210,1.37308
12220,2.39354
12230,0.366506
12240,0.314148
12250,0.261797
12260,0.209437
12270,0.157081
12280,0.104717
12290,0.0523605
12300,0
12310,0.111964
12320,0.223933
12330,0.335887
12340,1.20716
12350,1.20822
12360,1.21984
12370,1.24172
